name,fuel,seller_type,gear_box,owner,torque,production_year,km_driven,mileage,engine,max_power,seats
Maruti Swift,Diesel,Individual,Manual,First Owner,190Nm@ 2000rpm,0.8378378378378386,0.061640208502086034,0.557142857142857,0.2093959731543624,0.185,0.24999999999999997
Skoda Rapid,Diesel,Individual,Manual,Second Owner,250Nm@ 1500-2500rpm,0.8378378378378386,0.05083721111514047,0.5033333333333333,0.2932885906040268,0.2588,0.24999999999999997
Honda City,Petrol,Individual,Manual,Third Owner,"12.7@ 2,700(kgm@ rpm)",0.621621621621621,0.0593101502421566,0.4214285714285714,0.2929530201342282,0.195,0.24999999999999997
Hyundai i20,Diesel,Individual,Manual,First Owner,22.4 kgm at 1750-2750rpm,0.7297297297297334,0.053802739809596115,0.5476190476190476,0.25906040268456376,0.225,0.24999999999999997
Maruti Swift,Petrol,Individual,Manual,First Owner,"11.5@ 4,500(kgm@ rpm)",0.6486486486486527,0.05083721111514047,0.38333333333333336,0.22617449664429531,0.2205,0.24999999999999997
Hyundai Xcent,Petrol,Individual,Manual,First Owner,113.75nm@ 4000rpm,0.9189189189189193,0.019063689388829953,0.4795238095238095,0.19228187919463088,0.20465,0.24999999999999997
Maruti Wagon,LPG,Individual,Manual,First Owner,"7.8@ 4,500(kgm@ rpm)",0.6486486486486527,0.07413779371443484,0.4119047619047619,0.14664429530201342,0.14375000000000002,0.24999999999999997
Maruti 800,Petrol,Individual,Manual,Second Owner,59Nm@ 2500rpm,0.4864864864864842,0.0021178111347976833,0.38333333333333336,0.057718120805369116,0.0925,0.16666666666666666
Toyota Etios,Diesel,Individual,Manual,First Owner,170Nm@ 1800-2400rpm,0.7567567567567579,0.03812780242461626,0.5616666666666666,0.2483221476510067,0.16774999999999998,0.24999999999999997
Ford Figo,Diesel,Individual,Manual,First Owner,160Nm@ 2000rpm,0.8108108108108141,0.07159591197633,0.47619047619047616,0.2600671140939598,0.17024999999999998,0.24999999999999997
Renault Duster,Diesel,Individual,Manual,Second Owner,248Nm@ 2250rpm,0.8378378378378386,0.028807569384898507,0.45261904761904764,0.2808724832214765,0.271125,0.24999999999999997
